

[2019-08-18 13:03:26] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-18 15:07:51] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-18 16:25:34] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-18 16:31:43] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-18 16:36:54] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-19 12:30:18] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-20 15:56:11] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-20 17:23:12] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-20 17:23:58] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-20 17:28:38] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-20 17:35:40] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-20 17:56:14] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-20 18:25:03] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-20 19:30:23] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-20 20:16:45] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-20 20:18:57] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-20 20:23:08] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-20 21:24:29] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-20 21:43:38] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-20 21:56:47] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-21 10:15:18] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-21 13:55:58] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-21 13:56:08] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-21 14:03:01] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-21 14:03:37] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-21 14:04:48] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-21 16:30:25] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-21 16:31:17] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-21 20:14:58] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-22 12:15:00] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-22 12:51:20] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-22 17:05:03] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-22 17:14:31] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-24 20:12:05] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-24 20:19:34] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-25 01:02:21] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-25 01:09:16] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-25 01:37:19] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-25 13:19:58] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-25 15:25:56] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-25 15:27:46] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-25 15:28:50] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-25 15:30:59] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
